,Date Time,inci #,Description,Address,dispo
0,12/25/2024 12:21:28 AM,202412250005,MEDICAL - AMBULANCE NEEDED,1100 Block of SPRUCE WY,
1,12/25/2024 12:42:53 AM,202412250007,MEDICAL - AMBULANCE NEEDED,2900 Block of NEWBERRY CT,
2,12/25/2024 1:05:20 AM,202412250011,MEDICAL - AMBULANCE NEEDED,1500 Block of COOLIDGE ST,
3,12/25/2024 1:17:03 AM,202412250012,MEDICAL - AMBULANCE NEEDED,700 Block of N TEXAS ST,
4,12/25/2024 1:18:13 AM,202412250013,MEDICAL - AMBULANCE NEEDED,1800 Block of IDAHO ST,
5,12/25/2024 1:45:21 AM,202412250019,MEDICAL - AMBULANCE NEEDED,0 Block of N TEXAS ST,
6,12/25/2024 2:18:52 AM,202412250024,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of PEABODY RD,
7,12/25/2024 3:00:05 AM,202412250028,MEDICAL ALARM,0 Block of BALBOA CT,
8,12/25/2024 3:05:35 AM,202412250029,MEDICAL - AMBULANCE NEEDED,6200 Block of ALLEGIANCE CT,
9,12/25/2024 4:24:46 AM,202412250038,MEDICAL - AMBULANCE NEEDED,0 Block of BALBOA CT,
10,12/25/2024 6:13:24 AM,202412250046,MEDICAL - AMBULANCE NEEDED,900 Block of MATTHEW CT,
11,12/25/2024 7:01:23 AM,202412250050,MEDICAL - AMBULANCE NEEDED,2800 Block of CASCADE CT,
12,12/25/2024 7:29:51 AM,202412250053,MEDICAL - AMBULANCE NEEDED,1000 Block of SPARROW LN,
13,12/25/2024 8:59:22 AM,202412250059,MEDICAL - AMBULANCE NEEDED,2100 Block of TILDEN PL,
14,12/25/2024 9:14:37 AM,202412250060,MEDICAL - AMBULANCE NEEDED,1200 Block of MCKINLEY ST,
15,12/25/2024 9:15:34 AM,202412250061,MEDICAL - AMBULANCE NEEDED,300 Block of LILY ST,
16,12/25/2024 10:04:41 AM,202412250068,MEDICAL - AMBULANCE NEEDED,1600 Block of SAN DIEGO ST,
17,12/25/2024 10:11:32 AM,202412250070,MEDICAL - AMBULANCE NEEDED,5000 Block of BUSINESS CENTER DR,
18,12/25/2024 12:13:12 PM,202412250084,MEDICAL - AMBULANCE NEEDED,2000 Block of BLUEBIRD WY,
19,12/25/2024 12:41:25 PM,202412250089,MEDICAL - AMBULANCE NEEDED,2100 Block of BURGUNDY CT,
20,12/25/2024 1:03:58 PM,202412250091,MEDICAL - AMBULANCE NEEDED,0 Block of RED TOP RD,
21,12/25/2024 1:25:28 PM,202412250093,PUBLIC SERVICE - FIRE ONLY,1000 Block of OLIVER RD,
22,12/25/2024 1:56:35 PM,202412250096,MEDICAL - AMBULANCE NEEDED,200 Block of E TABOR AV,
23,12/25/2024 2:20:38 PM,202412250099,MEDICAL - AMBULANCE NEEDED,2400 Block of PEACH TREE DR,
24,12/25/2024 3:49:00 PM,202412250105,MEDICAL - AMBULANCE NEEDED,2000 Block of STARLING WY,
25,12/25/2024 4:00:00 PM,202412250107,MEDICAL - AMBULANCE NEEDED,2400 Block of VISTA GRANDE,
26,12/25/2024 4:39:42 PM,202412250111,FIRE ALARM,2900 Block of TETON LN,
27,12/25/2024 5:09:08 PM,202412250116,MEDICAL - AMBULANCE NEEDED,1200 Block of KENTUCKY ST,
28,12/25/2024 5:13:45 PM,202412250118,MEDICAL - AMBULANCE NEEDED,2300 Block of GULL CT,
29,12/25/2024 5:20:44 PM,202412250119,MEDICAL - AMBULANCE NEEDED,500 Block of UNION AV,
30,12/25/2024 5:40:12 PM,202412250123,BATTERY - FIRE/AMBULANCE,1900 Block of GRANDE CR,
31,12/25/2024 7:00:36 PM,202412250131,MEDICAL - AMBULANCE NEEDED,300 Block of UNION AV,
32,12/25/2024 7:00:39 PM,202412250132,ACCIDENT - MINOR INJURIES - FIRE/AMBULANCE,5300 Block of GRAMERCY CR,
33,12/25/2024 7:05:53 PM,202412250133,FIRE ALARM,800 Block of CHADBOURNE RD,
34,12/25/2024 7:25:33 PM,202412250134,MEDICAL - AMBULANCE NEEDED,1100 Block of GULF DR,
35,12/25/2024 7:46:37 PM,202412250139,MEDICAL - AMBULANCE NEEDED,800 Block of E TABOR AV,
36,12/25/2024 7:59:34 PM,202412250141,MEDICAL - AMBULANCE NEEDED,200 Block of JACKSON ST,
37,12/25/2024 8:47:00 PM,202412250151,MEDICAL - AMBULANCE NEEDED,1800 Block of N TEXAS ST,
38,12/25/2024 9:03:54 PM,202412250154,FIRE ALARM,0 Block of,
39,12/25/2024 11:04:09 PM,202412250163,SMOKE OR ODOR INVESTIGATION,300 Block of SAN ANDREAS ST,
40,12/25/2024 11:39:52 PM,202412250168,MEDICAL - AMBULANCE NEEDED,4500 Block of HAFLINGER DR,
