,Date Time,inci #,Description,Address,dispo
0,7/4/2024 12:02:01 AM,202407040001,MEDICAL - AMBULANCE NEEDED,2000 Block of CLIFFWOOD DR,
1,7/4/2024 12:18:04 AM,202407040004,FIRE - NO DETAILS,0 Block of BROADWAY ST,
2,7/4/2024 12:19:49 AM,202407040005,MEDICAL - AMBULANCE NEEDED,1700 Block of N TEXAS ST,
3,7/4/2024 12:48:53 AM,202407040011,MUTUAL AID - FIRE ONLY,600 Block of PINTAIL DR,
4,7/4/2024 12:50:38 AM,202407040012,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of WB I80 ON,
5,7/4/2024 1:41:05 AM,202407040025,BATTERY - FIRE/AMBULANCE,700 Block of E TRAVIS BL,
6,7/4/2024 4:56:59 AM,202407040040,INFORMATION - FIRE ONLY,1600 Block of N TEXAS ST,
7,7/4/2024 5:52:49 AM,202407040044,FIRE ALARM,1100 Block of HARTFORD PL,
8,7/4/2024 7:03:23 AM,202407040052,MEDICAL - AMBULANCE NEEDED,0 Block of BEL AIR CR,
9,7/4/2024 7:07:48 AM,202407040054,MEDICAL - AMBULANCE NEEDED,200 Block of JASMINE ST,
10,7/4/2024 7:25:40 AM,202407040058,INFORMATION - FIRE ONLY,1600 Block of SHADYWOOD CT,
11,7/4/2024 7:47:47 AM,202407040061,WILDLAND FIRE,0 Block of NB I680,
12,7/4/2024 7:49:05 AM,202407040062,INFORMATION - FIRE ONLY,1300 Block of OLIVER RD,
13,7/4/2024 8:23:15 AM,202407040065,MEDICAL - AMBULANCE NEEDED,3400 Block of PALO ALTO CT,
14,7/4/2024 8:35:07 AM,202407040068,MEDICAL - AMBULANCE NEEDED,2100 Block of TILDEN PL,
15,7/4/2024 9:05:40 AM,202407040070,MEDICAL - AMBULANCE NEEDED,5300 Block of AUTUMN ROCK CT,
16,7/4/2024 9:10:49 AM,202407040072,MEDICAL - AMBULANCE NEEDED,3200 Block of RANCHO SOLANO PKWY,
17,7/4/2024 9:41:51 AM,202407040078,FIRE ALARM,2700 Block of LOW CT,
18,7/4/2024 9:52:12 AM,202407040081,FIRE ALARM,2500 Block of VALLEY OAK WY,
19,7/4/2024 10:27:47 AM,202407040087,GRASS FIRE,0 Block of WB I80,
20,7/4/2024 10:41:07 AM,202407040092,GRASS FIRE,0 Block of NAPA 12 OFF,
21,7/4/2024 10:41:30 AM,202407040093,PUBLIC SERVICE - FIRE ONLY,1800 Block of INDIANA ST,
22,7/4/2024 10:52:41 AM,202407040098,TRANSIENT/HOMELESS FIRE,3500 Block of SPRINGFIELD DR,
23,7/4/2024 11:00:20 AM,202407040100,MEDICAL - AMBULANCE NEEDED,1000 Block of E TABOR AV,
24,7/4/2024 11:17:53 AM,202407040106,RESIDENTIAL FIRE,600 Block of E TRAVIS BL,
25,7/4/2024 11:31:00 AM,202407040108,MEDICAL - AMBULANCE NEEDED,600 Block of AIR BASE PKWY,
26,7/4/2024 11:34:45 AM,202407040110,MEDICAL - AMBULANCE NEEDED,2400 Block of FOUNDERS PL,
27,7/4/2024 12:41:01 PM,202407040122,PUBLIC SERVICE - FIRE ONLY,2100 Block of PERCHERON DR,
28,7/4/2024 12:42:28 PM,202407040123,MEDICAL - AMBULANCE NEEDED,1600 Block of SUNSET AV,
29,7/4/2024 12:45:04 PM,202407040125,MEDICAL - AMBULANCE NEEDED,1000 Block of ESTATES DR,
30,7/4/2024 12:48:18 PM,202407040126,MEDICAL - AMBULANCE NEEDED,300 Block of BECK AV,
31,7/4/2024 12:55:01 PM,202407040130,FIRE - NO DETAILS,1700 Block of ELM ST,
32,7/4/2024 1:27:53 PM,202407040139,MEDICAL - AMBULANCE NEEDED,2300 Block of TEAL CT,
33,7/4/2024 1:41:48 PM,202407040144,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of MANUEL CAMPOS PKWY,
34,7/4/2024 2:52:01 PM,202407040159,FIRE ALARM,800 Block of WASHINGTON ST,
35,7/4/2024 3:06:19 PM,202407040164,ASSAULT WITH A DEADLY WEAPON - FIRE/AMBULANCE,3900 Block of BUSINESS CENTER DR,
36,7/4/2024 3:07:09 PM,202407040166,MEDICAL - AMBULANCE NEEDED,1400 Block of W TEXAS ST,
37,7/4/2024 3:35:27 PM,202407040172,MEDICAL - AMBULANCE NEEDED,2300 Block of WOOLNER AV,
38,7/4/2024 3:55:47 PM,202407040174,MEDICAL - AMBULANCE NEEDED,1800 Block of SYCAMORE DR,
39,7/4/2024 4:31:56 PM,202407040180,MEDICAL ALARM,1300 Block of WOOLNER AV,
40,7/4/2024 4:54:09 PM,202407040183,MEDICAL - AMBULANCE NEEDED,5200 Block of TROPHY DR,
41,7/4/2024 5:24:53 PM,202407040185,SMOKE OR ODOR INVESTIGATION,4300 Block of PINE CREEK CR,
42,7/4/2024 5:52:11 PM,202407040188,MEDICAL - AMBULANCE NEEDED,500 Block of PRIMITIVO CT,
43,7/4/2024 6:15:01 PM,202407040191,MEDICAL - AMBULANCE NEEDED,400 Block of UNION AV,
44,7/4/2024 6:37:31 PM,202407040193,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of EB HWY 12 ON,
45,7/4/2024 6:38:32 PM,202407040194,FIRE - NO DETAILS,0 Block of CORDELIA RD,
46,7/4/2024 7:10:43 PM,202407040203,ARSON - FIRE,2800 Block of PARKVIEW TER,
47,7/4/2024 7:15:12 PM,202407040208,MEDICAL - AMBULANCE NEEDED,2300 Block of ESTATES DR,
48,7/4/2024 7:42:39 PM,202407040215,MEDICAL - AMBULANCE NEEDED,4400 Block of CANCUN DR,
49,7/4/2024 7:52:13 PM,202407040218,MEDICAL - AMBULANCE NEEDED,3000 Block of N TEXAS ST,
50,7/4/2024 9:10:25 PM,202407040260,GRASS FIRE,0 Block of SUNSET AV,
51,7/4/2024 9:12:56 PM,202407040268,RESIDENTIAL FIRE,2100 Block of HARTE PL,
52,7/4/2024 9:14:19 PM,202407040271,MEDICAL - AMBULANCE NEEDED,400 Block of JACKSON ST,
53,7/4/2024 9:15:20 PM,202407040272,GRASS FIRE,0 Block of BROADWAY ST,
54,7/4/2024 9:31:15 PM,202407040297,GRASS FIRE,1300 Block of HORIZON CR,
55,7/4/2024 9:34:46 PM,202407040302,RESIDENTIAL FIRE,500 Block of DERBY CT,
56,7/4/2024 9:49:29 PM,202407040329,FIRE - NO DETAILS,1900 Block of GRANDE CR,
