,Date Time,inci #,Description,Address,dispo
0,8/22/2024 12:05:46 AM,202408220002,MEDICAL - AMBULANCE NEEDED,4700 Block of GOLD HILL RD,
1,8/22/2024 2:58:03 AM,202408220015,FIRE ALARM,1800 Block of N TEXAS ST,
2,8/22/2024 5:28:45 AM,202408220024,BATTERY - FIRE/AMBULANCE,1000 Block of OLIVER RD,
3,8/22/2024 6:36:39 AM,202408220031,MEDICAL - AMBULANCE NEEDED,2500 Block of HILBORN RD,
4,8/22/2024 7:03:12 AM,202408220032,PERSON DOWN - FIRE/AMBULANCE,0 Block of GREEN VALLEY RD OFF,
5,8/22/2024 7:06:58 AM,202408220034,MEDICAL - AMBULANCE NEEDED,100 Block of GROBRIC CT,
6,8/22/2024 7:46:03 AM,202408220043,MEDICAL - AMBULANCE NEEDED,600 Block of E TRAVIS BL,
7,8/22/2024 7:49:38 AM,202408220046,INFORMATION - FIRE ONLY,4500 Block of HAFLINGER DR,
8,8/22/2024 7:58:26 AM,202408220048,MEDICAL - AMBULANCE NEEDED,600 Block of GREENTREE CT,
9,8/22/2024 8:04:38 AM,202408220049,FIRE ALARM,1100 Block of SPRUCE WY,
10,8/22/2024 8:22:18 AM,202408220056,INFORMATION - FIRE ONLY,5100 Block of FERMI DR,
11,8/22/2024 8:26:46 AM,202408220059,FIRE ALARM,200 Block of E ALASKA AV,
12,8/22/2024 8:32:15 AM,202408220060,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of TRAVIS BL,
13,8/22/2024 8:54:41 AM,202408220065,MEDICAL - AMBULANCE NEEDED,300 Block of E TABOR AV,
14,8/22/2024 9:16:27 AM,202408220073,MEDICAL - AMBULANCE NEEDED,4700 Block of BUSINESS CENTER DR,
15,8/22/2024 9:25:55 AM,202408220074,PERSON DOWN - FIRE/AMBULANCE,2300 Block of E ALASKA AV,
16,8/22/2024 9:36:40 AM,202408220078,INFORMATION - FIRE ONLY,1900 Block of PENNSYLVANIA AV,
17,8/22/2024 9:43:23 AM,202408220080,MEDICAL - AMBULANCE NEEDED,1400 Block of ANDOVER CT,
18,8/22/2024 9:45:30 AM,202408220081,INFORMATION - FIRE ONLY,2400 Block of CLAY BANK RD,
19,8/22/2024 10:33:15 AM,202408220094,MEDICAL - AMBULANCE NEEDED,4900 Block of SILVERADO DR,
20,8/22/2024 10:44:54 AM,202408220098,MEDICAL - AMBULANCE NEEDED,600 Block of BECK AV,
21,8/22/2024 10:56:30 AM,202408220100,MEDICAL - AMBULANCE NEEDED,4000 Block of SUISUN VALLEY RD,
22,8/22/2024 11:05:48 AM,202408220107,PERSON DOWN - FIRE/AMBULANCE,0 Block of JULIA BERGER CR,
23,8/22/2024 12:13:31 PM,202408220119,PERSON DOWN - FIRE/AMBULANCE,1200 Block of OLIVER RD,
24,8/22/2024 2:18:17 PM,202408220149,MEDICAL - AMBULANCE NEEDED,0 Block of,
25,8/22/2024 2:26:06 PM,202408220153,MEDICAL - AMBULANCE NEEDED,3400 Block of ASTORIA CT,
26,8/22/2024 2:38:14 PM,202408220156,MEDICAL - AMBULANCE NEEDED,1100 Block of UNION AV,
27,8/22/2024 2:46:29 PM,202408220159,FIRE ALARM,3900 Block of PARADISE VALLEY DR,
28,8/22/2024 3:22:53 PM,202408220168,MEDICAL - AMBULANCE NEEDED,0 Block of PEABODY RD,
29,8/22/2024 4:05:16 PM,202408220184,MEDICAL - AMBULANCE NEEDED,2100 Block of ESTATES DR,
30,8/22/2024 4:20:20 PM,202408220189,PUBLIC SERVICE - FIRE ONLY,200 Block of PACIFIC AV,
31,8/22/2024 4:41:33 PM,202408220192,MEDICAL - AMBULANCE NEEDED,100 Block of PAU CT,
32,8/22/2024 5:33:51 PM,202408220203,PUBLIC SERVICE - FIRE ONLY,700 Block of CEMENT HILL RD,
33,8/22/2024 6:02:46 PM,202408220211,MEDICAL - AMBULANCE NEEDED,300 Block of TULIP ST,
34,8/22/2024 6:41:55 PM,202408220223,MEDICAL - AMBULANCE NEEDED,2000 Block of SWAN WY,
35,8/22/2024 6:54:49 PM,202408220225,MEDICAL - AMBULANCE NEEDED,200 Block of DE SOTO DR,
36,8/22/2024 9:06:42 PM,202408220249,MEDICAL - AMBULANCE NEEDED,500 Block of STARWOOD CT,
37,8/22/2024 9:41:30 PM,202408220259,MEDICAL - AMBULANCE NEEDED,5300 Block of ANTIQUITY CR,
38,8/22/2024 9:48:53 PM,202408220260,MEDICAL - AMBULANCE NEEDED,1000 Block of WEBSTER ST,
39,8/22/2024 10:24:20 PM,202408220267,MEDICAL - AMBULANCE NEEDED,1000 Block of JOHNSON ST,
40,8/22/2024 10:31:19 PM,202408220269,MEDICAL - AMBULANCE NEEDED,1000 Block of SPARROW LN,
