,Date Time,inci #,Description,Address,dispo
0,8/8/2024 12:56:40 AM,202408080013,MEDICAL - AMBULANCE NEEDED,2100 Block of COURAGE DR,
1,8/8/2024 2:59:34 AM,202408080022,ACCIDENT - MINOR INJURIES - FIRE/AMBULANCE,0 Block of WOOLNER AV,
2,8/8/2024 6:33:39 AM,202408080032,FIRE ALARM,2000 Block of WINSTON DR,
3,8/8/2024 7:29:19 AM,202408080038,MEDICAL - AMBULANCE NEEDED,600 Block of SAN LORENZO ST,
4,8/8/2024 8:13:01 AM,202408080047,MEDICAL - AMBULANCE NEEDED,300 Block of ARIZONA ST,
5,8/8/2024 8:32:19 AM,202408080055,SMOKE OR ODOR INVESTIGATION,0 Block of SB I680,
6,8/8/2024 8:36:43 AM,202408080058,MEDICAL - AMBULANCE NEEDED,2700 Block of BAY TREE DR,
7,8/8/2024 9:14:33 AM,202408080067,TRANSIENT/HOMELESS FIRE,2100 Block of N TEXAS ST,
8,8/8/2024 9:22:30 AM,202408080071,INFORMATION - FIRE ONLY,0 Block of MANGELS BL,
9,8/8/2024 9:27:49 AM,202408080074,MEDICAL - AMBULANCE NEEDED,1500 Block of GATEWAY BL,
10,8/8/2024 9:33:34 AM,202408080078,MEDICAL - AMBULANCE NEEDED,2900 Block of ORCHID ST,
11,8/8/2024 10:19:08 AM,202408080089,INFORMATION - FIRE ONLY,800 Block of CHADBOURNE RD,
12,8/8/2024 10:27:28 AM,202408080092,MEDICAL - AMBULANCE NEEDED,1300 Block of FLINT WY,
13,8/8/2024 10:47:38 AM,202408080099,FIRE ALARM,2600 Block of VIOLET AV,
14,8/8/2024 10:57:55 AM,202408080102,PUBLIC SERVICE - FIRE ONLY,600 Block of KENNEDY CT,
15,8/8/2024 11:13:29 AM,202408080108,PUBLIC SERVICE - FIRE ONLY,1000 Block of TRAVIS BL,
16,8/8/2024 11:36:56 AM,202408080118,MEDICAL - AMBULANCE NEEDED,1500 Block of MONROE ST,
17,8/8/2024 12:00:09 PM,202408080122,FIRE ALARM,1300 Block of TRAVIS BL,
18,8/8/2024 12:01:34 PM,202408080123,MEDICAL - AMBULANCE NEEDED,4800 Block of BUSINESS CENTER DR,
19,8/8/2024 12:04:16 PM,202408080124,MEDICAL - AMBULANCE NEEDED,2300 Block of ESTATES DR,
20,8/8/2024 12:35:14 PM,202408080132,FIRE ALARM,1300 Block of TRAVIS BL,
21,8/8/2024 12:56:18 PM,202408080137,MEDICAL - AMBULANCE NEEDED,1600 Block of WOOD CREEK DR,
22,8/8/2024 1:25:27 PM,202408080146,FIRE ALARM,1300 Block of TRAVIS BL,
23,8/8/2024 1:51:57 PM,202408080150,FIRE ALARM,2600 Block of N TEXAS ST,
24,8/8/2024 1:52:52 PM,202408080151,INFORMATION - FIRE ONLY,1300 Block of TRAVIS BL,
25,8/8/2024 2:44:07 PM,202408080161,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,1500 Block of PHOENIX DR,
26,8/8/2024 2:46:14 PM,202408080164,MEDICAL - AMBULANCE NEEDED,1700 Block of ENTERPRISE DR,
27,8/8/2024 2:53:53 PM,202408080166,PUBLIC SERVICE - FIRE ONLY,800 Block of E TABOR AV,
28,8/8/2024 3:50:52 PM,202408080175,MEDICAL - AMBULANCE NEEDED,0 Block of WB I80,
29,8/8/2024 4:46:02 PM,202408080198,MEDICAL - AMBULANCE NEEDED,400 Block of DAWSON CREEK DR,
30,8/8/2024 4:59:43 PM,202408080202,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of WASHINGTON ST,
31,8/8/2024 5:13:29 PM,202408080206,SMOKE OR ODOR INVESTIGATION,0 Block of WB I80,
32,8/8/2024 5:28:48 PM,202408080208,MEDICAL - AMBULANCE NEEDED,800 Block of DEERFIELD PL,
33,8/8/2024 5:31:07 PM,202408080209,MEDICAL - AMBULANCE NEEDED,0 Block of EB I80,
34,8/8/2024 5:48:44 PM,202408080213,MEDICAL - AMBULANCE NEEDED,2800 Block of ESTATES DR,
35,8/8/2024 6:05:22 PM,202408080215,MEDICAL - AMBULANCE NEEDED,2000 Block of PENNSYLVANIA AV,
36,8/8/2024 6:12:35 PM,202408080219,MEDICAL - AMBULANCE NEEDED,100 Block of OLYMPIC CT,
37,8/8/2024 6:29:42 PM,202408080221,MEDICAL - AMBULANCE NEEDED,1100 Block of UNION AV,
38,8/8/2024 7:14:09 PM,202408080228,MEDICAL - AMBULANCE NEEDED,2400 Block of LARAMIE CR,
39,8/8/2024 7:45:36 PM,202408080235,MEDICAL - AMBULANCE NEEDED,2700 Block of N TEXAS ST,
40,8/8/2024 9:09:34 PM,202408080257,MEDICAL - AMBULANCE NEEDED,1100 Block of HICKORY AV,
41,8/8/2024 9:10:01 PM,202408080259,TRANSIENT/HOMELESS FIRE,1900 Block of BUCKINGHAM DR,
42,8/8/2024 9:27:46 PM,202408080264,MEDICAL - AMBULANCE NEEDED,1900 Block of GRANDE CR,
43,8/8/2024 9:31:10 PM,202408080266,SPOUSE ABUSE - FIRE/AMBULANCE,1900 Block of AMELIA LN,
44,8/8/2024 10:25:26 PM,202408080277,MEDICAL - AMBULANCE NEEDED,5200 Block of TROPHY DR,
45,8/8/2024 10:35:16 PM,202408080281,COMMERCIAL FIRE,2000 Block of N TEXAS ST,
46,8/8/2024 11:36:25 PM,202408080295,MUTUAL AID - FIRE ONLY,0 Block of WEST ST,
