,Date Time,inci #,Description,Address,dispo
0,7/11/2024 12:13:44 AM,202407110001,ASSAULT WITH A DEADLY WEAPON - FIRE/AMBULANCE,0 Block of WATERMAN BL,
1,7/11/2024 1:10:28 AM,202407110006,MEDICAL - AMBULANCE NEEDED,2000 Block of CLIFFWOOD DR,
2,7/11/2024 2:47:05 AM,202407110021,MEDICAL - AMBULANCE NEEDED,1300 Block of FALSETTO DR,
3,7/11/2024 3:41:15 AM,202407110025,MEDICAL - AMBULANCE NEEDED,0 Block of BEL AIR CR,
4,7/11/2024 4:41:44 AM,202407110030,PUBLIC SERVICE - FIRE ONLY,3600 Block of DORAL DR,
5,7/11/2024 5:17:41 AM,202407110033,MEDICAL - AMBULANCE NEEDED,2300 Block of BURGUNDY WY,
6,7/11/2024 5:46:06 AM,202407110038,PUBLIC SERVICE - FIRE ONLY,1900 Block of BUCKINGHAM DR,
7,7/11/2024 6:44:44 AM,202407110046,MEDICAL ALARM,600 Block of KENNEDY CT,
8,7/11/2024 6:48:14 AM,202407110048,ASSAULT WITH A DEADLY WEAPON - FIRE/AMBULANCE,1700 Block of W TEXAS ST,
9,7/11/2024 7:44:25 AM,202407110061,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of WB I80,
10,7/11/2024 7:48:53 AM,202407110065,MEDICAL - AMBULANCE NEEDED,1700 Block of W TEXAS ST,
11,7/11/2024 8:45:07 AM,202407110077,INFORMATION - FIRE ONLY,1500 Block of GATEWAY BL,
12,7/11/2024 8:54:21 AM,202407110079,ACCIDENT - NO DETAILS - FIRE/AMBULANCE,0 Block of AIR BASE PKWY,
13,7/11/2024 9:04:15 AM,202407110083,RESIDENTIAL FIRE,2100 Block of LAKEWOOD DR,
14,7/11/2024 9:06:28 AM,202407110086,INFORMATION - FIRE ONLY,4500 Block of MANGELS BL,
15,7/11/2024 9:12:12 AM,202407110087,MEDICAL - AMBULANCE NEEDED,3200 Block of ARROYO DR,
16,7/11/2024 9:31:51 AM,202407110094,MEDICAL - AMBULANCE NEEDED,2500 Block of HILBORN RD,
17,7/11/2024 9:35:34 AM,202407110097,MEDICAL - AMBULANCE NEEDED,5000 Block of ELLIS GODFREY DR,
18,7/11/2024 9:44:57 AM,202407110100,MEDICAL - AMBULANCE NEEDED,1200 Block of DANA DR,
19,7/11/2024 10:14:14 AM,202407110107,MEDICAL - AMBULANCE NEEDED,800 Block of E TABOR AV,
20,7/11/2024 10:15:19 AM,202407110108,MEDICAL - AMBULANCE NEEDED,3300 Block of CHERRY HILLS CT,
21,7/11/2024 10:22:08 AM,202407110110,MUTUAL AID - FIRE ONLY,100 Block of MILITARY W,
22,7/11/2024 10:32:33 AM,202407110113,MEDICAL - AMBULANCE NEEDED,500 Block of SAN DIMAS ST,
23,7/11/2024 10:39:01 AM,202407110116,PUBLIC SERVICE - FIRE ONLY,1400 Block of SPUR LN,
24,7/11/2024 10:59:24 AM,202407110120,MUTUAL AID - FIRE ONLY,2000 Block of ULATIS DR,
25,7/11/2024 11:15:50 AM,202407110123,MEDICAL - AMBULANCE NEEDED,5200 Block of CALENDULA ST,
26,7/11/2024 12:05:11 PM,202407110132,FIRE ALARM,200 Block of BECK AV,
27,7/11/2024 12:25:25 PM,202407110138,MEDICAL - AMBULANCE NEEDED,700 Block of MARSH PL,
28,7/11/2024 12:33:29 PM,202407110140,MEDICAL - AMBULANCE NEEDED,1800 Block of DOVER AV,
29,7/11/2024 1:06:48 PM,202407110145,MEDICAL - AMBULANCE NEEDED,700 Block of FIFTH ST,
30,7/11/2024 1:55:36 PM,202407110154,MEDICAL - AMBULANCE NEEDED,3000 Block of TRAVIS BL,
31,7/11/2024 2:25:07 PM,202407110159,MEDICAL - AMBULANCE NEEDED,0 Block of WB I80 ON,
32,7/11/2024 2:47:47 PM,202407110161,MEDICAL - AMBULANCE NEEDED,500 Block of ETRUSCAN CT,
33,7/11/2024 3:20:21 PM,202407110170,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of EB HWY 12,
34,7/11/2024 3:37:53 PM,202407110176,SMOKE OR ODOR INVESTIGATION,0 Block of NIGHTINGALE DR,
35,7/11/2024 3:41:00 PM,202407110178,MEDICAL - AMBULANCE NEEDED,2200 Block of GATEWAY CT,
36,7/11/2024 3:42:08 PM,202407110179,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of EB I80,
