,Date Time,inci #,Description,Address,dispo
0,8/29/2024 12:47:29 AM,202408290007,MEDICAL - AMBULANCE NEEDED,1700 Block of KOLOB CT,
1,8/29/2024 1:14:42 AM,202408290013,FIRE ALARM,1000 Block of WEBSTER ST,
2,8/29/2024 1:27:36 AM,202408290016,FIRE ALARM,2900 Block of MILLER DR,
3,8/29/2024 1:32:24 AM,202408290017,MEDICAL - AMBULANCE NEEDED,2900 Block of TURNBERRY CT,
4,8/29/2024 1:46:58 AM,202408290019,PUBLIC SERVICE - FIRE ONLY,1200 Block of ETON CT,
5,8/29/2024 3:29:24 AM,202408290020,PERSON DOWN - FIRE/AMBULANCE,2100 Block of N TEXAS ST,
6,8/29/2024 6:07:36 AM,202408290032,MEDICAL - AMBULANCE NEEDED,1000 Block of WEBSTER ST,
7,8/29/2024 6:13:35 AM,202408290034,INFORMATION - FIRE ONLY,5000 Block of RED TOP RD,
8,8/29/2024 6:19:48 AM,202408290036,MEDICAL - AMBULANCE NEEDED,700 Block of SAN PEDRO ST,
9,8/29/2024 6:41:42 AM,202408290039,PUBLIC SERVICE - FIRE ONLY,2700 Block of CAMROSE AV,
10,8/29/2024 7:09:43 AM,202408290043,MEDICAL - AMBULANCE NEEDED,1200 Block of KENTUCKY ST,
11,8/29/2024 8:18:10 AM,202408290060,MEDICAL - AMBULANCE NEEDED,1200 Block of SANDERLING DR,
12,8/29/2024 8:49:30 AM,202408290067,INFORMATION - FIRE ONLY,3000 Block of N TEXAS ST,
13,8/29/2024 9:08:42 AM,202408290072,MEDICAL - AMBULANCE NEEDED,500 Block of ALASKA AV,
14,8/29/2024 10:01:48 AM,202408290087,MEDICAL - AMBULANCE NEEDED,1000 Block of E TABOR AV,
15,8/29/2024 10:25:07 AM,202408290091,HAZARD - FIRE ONLY,0 Block of SOLANO MALL ENTRANCE,
16,8/29/2024 11:14:02 AM,202408290106,MEDICAL - AMBULANCE NEEDED,700 Block of CASTELLI CT,
17,8/29/2024 11:17:44 AM,202408290107,BATTERY - FIRE/AMBULANCE,4900 Block of PEABODY RD,
18,8/29/2024 11:33:54 AM,202408290116,MEDICAL - AMBULANCE NEEDED,1100 Block of DANA DR,
19,8/29/2024 12:02:12 PM,202408290127,MEDICAL - DUAL RESPONSE,1900 Block of W TEXAS ST,
20,8/29/2024 12:07:47 PM,202408290130,PUBLIC SERVICE - FIRE ONLY,600 Block of WALNUT DR,
21,8/29/2024 12:41:04 PM,202408290145,MEDICAL - AMBULANCE NEEDED,1400 Block of ASTORIA DR,
22,8/29/2024 1:28:36 PM,202408290155,MEDICAL - AMBULANCE NEEDED,200 Block of BECK AV,
23,8/29/2024 1:38:28 PM,202408290158,PUBLIC SERVICE - FIRE ONLY,1700 Block of FILLMORE ST,
24,8/29/2024 2:21:30 PM,202408290169,MUTUAL AID - FIRE ONLY,2000 Block of MARSHALL RD,
25,8/29/2024 2:23:50 PM,202408290171,MEDICAL - AMBULANCE NEEDED,2400 Block of WATERMAN BL,
26,8/29/2024 3:20:22 PM,202408290186,PUBLIC SERVICE - FIRE ONLY,2000 Block of CARDINAL WY,
27,8/29/2024 3:31:22 PM,202408290190,SMOKE OR ODOR INVESTIGATION,700 Block of EMERALD BAY DR,
28,8/29/2024 4:21:46 PM,202408290204,PUBLIC SERVICE - FIRE ONLY,4300 Block of THE MASTERS DR,
29,8/29/2024 4:26:10 PM,202408290206,MEDICAL - AMBULANCE NEEDED,2800 Block of SHELTER HILL DR,
30,8/29/2024 4:40:28 PM,202408290209,MEDICAL - AMBULANCE NEEDED,3800 Block of CHAPPARAL DR,
31,8/29/2024 5:20:24 PM,202408290217,MEDICAL - AMBULANCE NEEDED,2700 Block of LOW CT,
32,8/29/2024 6:21:29 PM,202408290232,MEDICAL - AMBULANCE NEEDED,700 Block of CEMENT HILL RD,
33,8/29/2024 6:25:45 PM,202408290235,WATER CALL OUT,1200 Block of BROADWAY ST,
34,8/29/2024 6:38:06 PM,202408290240,TRANSIENT/HOMELESS FIRE,1300 Block of OLIVER RD,
35,8/29/2024 7:32:25 PM,202408290245,MEDICAL - AMBULANCE NEEDED,3000 Block of DOVER AV,
36,8/29/2024 8:02:26 PM,202408290252,MEDICAL - AMBULANCE NEEDED,1700 Block of W TEXAS ST,
37,8/29/2024 8:29:46 PM,202408290256,MEDICAL - AMBULANCE NEEDED,1300 Block of WOOLNER AV,
38,8/29/2024 8:51:24 PM,202408290262,PUBLIC SERVICE - FIRE ONLY,1500 Block of NORTHWOOD DR,
