,Date Time,inci #,Description,Address,dispo
0,9/19/2024 12:27:55 AM,202409190009,SUICIDE/ATTEMPT - FIRE/AMBULANCE,3700 Block of LYON RD,
1,9/19/2024 12:43:35 AM,202409190011,MEDICAL - AMBULANCE NEEDED,300 Block of VIA PALO LINDA,
2,9/19/2024 2:51:04 AM,202409190018,MEDICAL - AMBULANCE NEEDED,800 Block of E TABOR AV,
3,9/19/2024 4:31:34 AM,202409190028,MEDICAL - AMBULANCE NEEDED,600 Block of PACIFIC AV,
4,9/19/2024 4:47:56 AM,202409190030,MEDICAL - AMBULANCE NEEDED,2100 Block of N TEXAS ST,
5,9/19/2024 6:16:44 AM,202409190036,MEDICAL - AMBULANCE NEEDED,0 Block of FIFTH ST,
6,9/19/2024 6:40:02 AM,202409190037,PUBLIC SERVICE - FIRE ONLY,2600 Block of N TEXAS ST,
7,9/19/2024 6:40:22 AM,202409190038,MEDICAL - AMBULANCE NEEDED,2800 Block of CALAVERAS DR,
8,9/19/2024 6:58:16 AM,202409190041,MEDICAL - AMBULANCE NEEDED,200 Block of E TABOR AV,
9,9/19/2024 7:34:01 AM,202409190047,HIGH SPEED VEHICLE ACCIDENT FIRE/AMBULANCE,0 Block of EB I80,
10,9/19/2024 7:46:55 AM,202409190050,INFORMATION - FIRE ONLY,1200 Block of B GALE WILSON BL,
11,9/19/2024 8:48:46 AM,202409190060,MEDICAL - AMBULANCE NEEDED,0 Block of EB I80 OFF,
12,9/19/2024 9:15:08 AM,202409190066,MEDICAL - AMBULANCE NEEDED,1000 Block of VIA PALO LINDA,
13,9/19/2024 9:23:56 AM,202409190070,MEDICAL - AMBULANCE NEEDED,3800 Block of ROLLINGWOOD DR,
14,9/19/2024 9:45:36 AM,202409190079,INFORMATION - FIRE ONLY,200 Block of PENNSYLVANIA AV,
15,9/19/2024 10:16:05 AM,202409190087,MEDICAL - AMBULANCE NEEDED,1600 Block of PARK LN,
16,9/19/2024 10:26:05 AM,202409190091,MEDICAL - AMBULANCE NEEDED,1600 Block of TRAVION CT,
17,9/19/2024 10:33:15 AM,202409190093,MEDICAL - AMBULANCE NEEDED,2100 Block of SANTA ANA DR,
18,9/19/2024 12:29:47 PM,202409190122,MEDICAL - AMBULANCE NEEDED,1200 Block of HARRY PRICE DR,
19,9/19/2024 12:42:57 PM,202409190127,TEST CALL - FIRE ONLY,0 Block of TEST WY,
20,9/19/2024 12:55:18 PM,202409190131,MEDICAL - AMBULANCE NEEDED,1800 Block of PENNSYLVANIA AV,
21,9/19/2024 1:07:25 PM,202409190136,MEDICAL - AMBULANCE NEEDED,1100 Block of CORMORANT PL,
22,9/19/2024 1:16:30 PM,202409190137,MEDICAL - AMBULANCE NEEDED,5000 Block of RASMUSSEN WY,
23,9/19/2024 1:21:04 PM,202409190139,INFORMATION - FIRE ONLY,1900 Block of DOVER AV,
24,9/19/2024 1:21:33 PM,202409190141,MEDICAL - AMBULANCE NEEDED,2500 Block of VISTA GRANDE,
25,9/19/2024 1:49:17 PM,202409190149,MEDICAL - AMBULANCE NEEDED,4500 Block of BUSINESS CENTER DR,
26,9/19/2024 2:22:09 PM,202409190162,MEDICAL - AMBULANCE NEEDED,1300 Block of NORTHWOOD CT,
27,9/19/2024 2:45:16 PM,202409190168,PUBLIC SERVICE - FIRE ONLY,4600 Block of CENTRAL WY,
28,9/19/2024 4:01:10 PM,202409190187,MEDICAL - AMBULANCE NEEDED,1800 Block of BRIDGEWOOD CT,
29,9/19/2024 4:13:17 PM,202409190191,ACCIDENT - MINOR INJURIES - FIRE/AMBULANCE,2300 Block of N TEXAS ST,
30,9/19/2024 4:17:48 PM,202409190193,ACCIDENT - MINOR INJURIES - FIRE/AMBULANCE,0 Block of PEABODY RD,
31,9/19/2024 4:43:10 PM,202409190200,GRASS FIRE,1400 Block of W TEXAS ST,
32,9/19/2024 5:03:40 PM,202409190209,PUBLIC SERVICE - FIRE ONLY,1300 Block of WOOLNER AV,
33,9/19/2024 5:17:11 PM,202409190212,FIRE ALARM,500 Block of VINTAGE VALLEY DR,
34,9/19/2024 5:29:02 PM,202409190216,MEDICAL - AMBULANCE NEEDED,5200 Block of TROPHY DR,
35,9/19/2024 5:30:04 PM,202409190217,MEDICAL - AMBULANCE NEEDED,1800 Block of VERMONT ST,
36,9/19/2024 5:33:25 PM,202409190218,ACCIDENT - MINOR INJURIES - FIRE/AMBULANCE,1300 Block of W TEXAS ST,
37,9/19/2024 5:37:36 PM,202409190220,MEDICAL - AMBULANCE NEEDED,0 Block of BALBOA CT,
38,9/19/2024 5:45:31 PM,202409190224,PUBLIC SERVICE - FIRE ONLY,1600 Block of SAN DIEGO ST,
39,9/19/2024 6:11:36 PM,202409190225,MEDICAL - AMBULANCE NEEDED,2100 Block of HAUSAM LN,
40,9/19/2024 6:27:52 PM,202409190230,FIRE ALARM,2100 Block of SUNHAVEN CR,
41,9/19/2024 6:51:12 PM,202409190234,MEDICAL - AMBULANCE NEEDED,100 Block of EL VERANO CT,
42,9/19/2024 6:53:02 PM,202409190236,MEDICAL - AMBULANCE NEEDED,2400 Block of FREITAS WY,
43,9/19/2024 7:02:31 PM,202409190238,MEDICAL - AMBULANCE NEEDED,600 Block of PARADISE CT,
44,9/19/2024 7:26:01 PM,202409190242,MEDICAL - AMBULANCE NEEDED,0 Block of PEACH TREE DR,
45,9/19/2024 7:30:40 PM,202409190244,MEDICAL - AMBULANCE NEEDED,1100 Block of CHARTER LN,
46,9/19/2024 7:34:44 PM,202409190246,MEDICAL - AMBULANCE NEEDED,2100 Block of COURAGE DR,
47,9/19/2024 7:45:04 PM,202409190247,TRANSIENT/HOMELESS FIRE,1600 Block of CAPITOLA WY,
48,9/19/2024 7:53:54 PM,202409190251,MEDICAL - AMBULANCE NEEDED,700 Block of OREGON ST,
49,9/19/2024 10:06:13 PM,202409190280,MEDICAL - AMBULANCE NEEDED,200 Block of E ALASKA AV,
50,9/19/2024 10:53:36 PM,202409190292,MEDICAL - AMBULANCE NEEDED,2100 Block of WYLIE PL,
51,9/19/2024 11:25:52 PM,202409190301,MEDICAL - AMBULANCE NEEDED,2400 Block of VILLAGE SQUARE BL,
52,9/19/2024 11:29:08 PM,202409190303,MEDICAL - AMBULANCE NEEDED,1900 Block of GRANDE CR,
53,9/19/2024 11:49:42 PM,202409190309,FIRE ALARM,900 Block of LINDEN AV,
