,Date Time,inci #,Description,Address,dispo
0,12/5/2024 12:26:50 AM,202412050002,MEDICAL - AMBULANCE NEEDED,4900 Block of SUMMER GROVE CR,
1,12/5/2024 12:33:49 AM,202412050003,FIRE ALARM,2300 Block of E ALASKA AV,
2,12/5/2024 1:01:54 AM,202412050005,MEDICAL - AMBULANCE NEEDED,1400 Block of HOLIDAY LN,
3,12/5/2024 1:24:33 AM,202412050010,MEDICAL - AMBULANCE NEEDED,3600 Block of TASSAJARA CT,
4,12/5/2024 1:51:21 AM,202412050012,MEDICAL - AMBULANCE NEEDED,1100 Block of UNION AV,
5,12/5/2024 2:10:34 AM,202412050013,MEDICAL - AMBULANCE NEEDED,1100 Block of CORMORANT PL,
6,12/5/2024 3:08:46 AM,202412050018,FIRE - NO DETAILS,1800 Block of N TEXAS ST,
7,12/5/2024 3:19:43 AM,202412050021,MEDICAL - AMBULANCE NEEDED,2100 Block of NOTTINGHAM DR,
8,12/5/2024 5:27:51 AM,202412050024,MEDICAL - AMBULANCE NEEDED,100 Block of E ALASKA AV,
9,12/5/2024 5:50:10 AM,202412050025,MEDICAL - DUAL RESPONSE,1000 Block of WINTERWOOD DR,
10,12/5/2024 6:08:43 AM,202412050027,INFORMATION - FIRE ONLY,2700 Block of LOW CT,
11,12/5/2024 6:08:53 AM,202412050028,INFORMATION - FIRE ONLY,2700 Block of LOW CT,
12,12/5/2024 6:08:58 AM,202412050029,INFORMATION - FIRE ONLY,2700 Block of LOW CT,
13,12/5/2024 7:30:05 AM,202412050044,MEDICAL - AMBULANCE NEEDED,900 Block of LOCUST ST,
14,12/5/2024 8:12:44 AM,202412050054,PUBLIC SERVICE - FIRE ONLY,800 Block of E TABOR AV,
15,12/5/2024 8:26:51 AM,202412050057,MEDICAL - AMBULANCE NEEDED,1900 Block of CORDELIA RD,
16,12/5/2024 9:26:09 AM,202412050070,PUBLIC SERVICE - FIRE ONLY,1700 Block of ELM ST,
17,12/5/2024 9:33:53 AM,202412050072,PUBLIC SERVICE - FIRE ONLY,2700 Block of WOODMONT CT,
18,12/5/2024 9:38:00 AM,202412050073,INFORMATION - FIRE ONLY,2300 Block of COURAGE DR,
19,12/5/2024 9:40:41 AM,202412050074,MEDICAL - AMBULANCE NEEDED,2800 Block of ESTATES DR,
20,12/5/2024 9:56:51 AM,202412050079,MEDICAL - DUAL RESPONSE,2300 Block of PALMER CR,
21,12/5/2024 10:09:18 AM,202412050084,INFORMATION - FIRE ONLY,2600 Block of HUNTINGTON DR,
22,12/5/2024 10:16:06 AM,202412050086,MEDICAL - AMBULANCE NEEDED,600 Block of KENTUCKY ST,
23,12/5/2024 10:19:02 AM,202412050087,MEDICAL - AMBULANCE NEEDED,200 Block of ATLANTIC AV,
24,12/5/2024 11:00:14 AM,202412050095,PUBLIC SERVICE - FIRE ONLY,1700 Block of ELM ST,
25,12/5/2024 11:03:40 AM,202412050097,MEDICAL - AMBULANCE NEEDED,200 Block of E TABOR AV,
26,12/5/2024 11:39:36 AM,202412050104,MEDICAL - AMBULANCE NEEDED,2500 Block of E ATLANTIC CT,
27,12/5/2024 12:51:09 PM,202412050132,MEDICAL - AMBULANCE NEEDED,2800 Block of CYPRESS CR,
28,12/5/2024 12:56:53 PM,202412050134,MEDICAL - AMBULANCE NEEDED,1300 Block of GATEWAY BL,
29,12/5/2024 1:02:30 PM,202412050137,FIRE ALARM,200 Block of LOPES RD,
30,12/5/2024 1:03:33 PM,202412050139,MEDICAL - AMBULANCE NEEDED,2000 Block of ORANGE TREE WY,
31,12/5/2024 1:51:41 PM,202412050157,MEDICAL - AMBULANCE NEEDED,1000 Block of JEFFERSON ST,
32,12/5/2024 2:05:20 PM,202412050160,INFORMATION - FIRE ONLY,1700 Block of ENTERPRISE DR,
33,12/5/2024 2:18:35 PM,202412050168,MEDICAL - AMBULANCE NEEDED,2000 Block of DORLAND DR,
34,12/5/2024 2:21:58 PM,202412050169,PERSON DOWN - FIRE/AMBULANCE,1300 Block of GATEWAY BL,
35,12/5/2024 2:32:36 PM,202412050175,MEDICAL - AMBULANCE NEEDED,1100 Block of HERON CT,
36,12/5/2024 3:20:49 PM,202412050196,FIRE - NO DETAILS,1300 Block of EMPIRE ST,
37,12/5/2024 3:56:06 PM,202412050211,MEDICAL - AMBULANCE NEEDED,3800 Block of DANBURY WY,
38,12/5/2024 4:47:08 PM,202412050234,PUBLIC SERVICE - FIRE ONLY,800 Block of E TABOR AV,
39,12/5/2024 4:51:28 PM,202412050235,MEDICAL - AMBULANCE NEEDED,2000 Block of HUNTINGTON DR,
40,12/5/2024 5:20:00 PM,202412050241,SMOKE OR ODOR INVESTIGATION,0 Block of CORDELIA RD,
41,12/5/2024 5:42:47 PM,202412050247,MEDICAL - AMBULANCE NEEDED,800 Block of E TABOR AV,
42,12/5/2024 5:55:03 PM,202412050253,MEDICAL - AMBULANCE NEEDED,1000 Block of ROOSEVELT ST,
43,12/5/2024 6:03:32 PM,202412050257,TRANSIENT/HOMELESS FIRE,0 Block of E TABOR AV,
44,12/5/2024 6:05:32 PM,202412050259,MEDICAL - AMBULANCE NEEDED,3400 Block of NORWALK PL,
45,12/5/2024 6:14:41 PM,202412050260,WATER CALL OUT,0 Block of WEBSTER ST,
46,12/5/2024 6:15:13 PM,202412050261,FIRE ALARM,1200 Block of KENTUCKY ST,
47,12/5/2024 6:17:49 PM,202412050262,PERSON DOWN - FIRE/AMBULANCE,1600 Block of SUNSET AV,
48,12/5/2024 6:39:10 PM,202412050267,MEDICAL - AMBULANCE NEEDED,300 Block of HONEYSUCKLE DR,
49,12/5/2024 6:56:06 PM,202412050272,FIRE ALARM,2800 Block of CORDELIA RD,
50,12/5/2024 7:18:02 PM,202412050274,MEDICAL - AMBULANCE NEEDED,2100 Block of CAMBRIDGE DR,
